ticker,company_name,sector,listing_date,offer_price_idr,underwriter,underwriter_tier,first_day_close,day30_close,first_day_return,day30_return,label_first_day,label_30day
BUKA,PT Bukalapak.com Tbk,Technology,2021-08-06,850,Mandiri Sekuritas,1,1060.0,895.0,0.2471,0.0529,1,1
GOTO,PT GoTo Gojek Tokopedia Tbk,Technology,2022-04-11,338,BCA Sekuritas,1,382.0,222.0,0.1302,-0.3432,1,0
BRIS,PT Bank Syariah Indonesia Tbk,Banking,2021-02-01,1480,Mandiri Sekuritas,1,2591.73,2600.98,0.7512,0.7574,1,1
ARTO,PT Bank Jago Tbk,Banking,2016-01-13,100,Ciptadana Sekuritas,2,21.59,14.97,-0.7841,-0.8503,0,0
AMMN,PT Amman Mineral Internasional Tbk,Mining,2023-07-07,1695,UBS Securities Indonesia,1,1755.0,2870.0,0.0354,0.6932,1,1
BREN,PT Barito Renewables Energy Tbk,Energy,2023-10-09,780,BCA Sekuritas,1,972.36,4388.11,0.2466,4.6258,1,1
NCKL,PT Trimegah Bangun Persada Tbk,Mining,2023-04-12,1250,Mandiri Sekuritas,1,1182.52,951.46,-0.054,-0.2388,0,0
MBMA,PT Merdeka Battery Materials Tbk,Mining,2023-04-12,795,BCA Sekuritas,1,885.0,775.0,0.1132,-0.0252,1,0
ADRO,PT Alamtri Resources Indonesia Tbk,Mining,2023-11-20,100,Indo Premier Sekuritas,1,1069.29,1081.87,9.6929,9.8187,1,1
PTRO,PT Petrosea Tbk,Mining,2019-05-22,1150,BCA Sekuritas,1,106.74,109.49,-0.9072,-0.9048,0,0
MSTI,PT Mastersystem Infotama Tbk,Technology,2023-12-20,1355,BCA Sekuritas,1,1057.0,1049.17,-0.2199,-0.2257,0,0
HILL,PT Hillcon Tbk,Mining,2023-03-17,1250,Mandiri Sekuritas,1,395.3,311.15,-0.6838,-0.7511,0,0
WINE,PT HATTEN BALI Tbk,Consumer Goods,2023-11-22,129,Sinarmas Sekuritas,2,496.86,393.67,2.8516,2.0517,1,1
CHIP,PT Pelita Teknologi Global Tbk,Technology,2023-01-17,160,Indo Premier Sekuritas,1,175.18,258.79,0.0949,0.6174,1,1
RELF,PT Graha Mitra Asia Tbk,Infrastructure,2023-06-14,105,RHB Sekuritas Indonesia,2,94.33,183.9,-0.1016,0.7514,0,1
AWAN,PT Era Digital Media Tbk,Technology,2023-03-10,100,RHB Sekuritas Indonesia,2,135.0,,0.35,,1,0
BDKR,PT Berdikari Pondasi Perkasa Tbk,Property,2023-02-08,100,RHB Sekuritas Indonesia,2,221.92,243.14,1.2192,1.4314,1,1
NSSS,PT Nusantara Sawit Sejahtera Tbk,Consumer Goods,2023-04-12,130,NH Korindo Sekuritas,3,153.79,138.02,0.183,0.0617,1,1
DCII,PT DCI Indonesia Tbk,Technology,2021-01-06,5250,BCA Sekuritas,1,525.0,8250.0,-0.9,0.5714,0,1
