ticker,company_name,sector,listing_date,offer_price_idr,share_count,underwriter,underwriter_tier
GOTO,PT GoTo Gojek Tokopedia Tbk,Technology,2022-04-11,338,40000000000,Mandiri Sekuritas,1
BUKA,PT Bukalapak.com Tbk,Technology,2021-08-06,850,25765504000,Mirae Asset,2
DCII,PT DCI Indonesia Tbk,Technology,2021-01-15,5550,200000000,BCA Sekuritas,1
INET,PT Indosat Net Tbk,Technology,2024-01-22,760,3400000000,Indo Premier,1
AMMN,PT Amman Mineral Internasional Tbk,Mining,2023-07-07,1650,7639853200,Mandiri Sekuritas,1
BRIS,PT Bank Syariah Indonesia Tbk,Banking,2021-02-01,1050,2587000000,Mandiri Sekuritas,1
BREN,PT Barito Renewables Energy Tbk,Energy,2023-10-09,780,6700000000,Mandiri Sekuritas,1
CUAN,PT Petrindo Jaya Kreasi Tbk,Mining,2023-07-12,8800,362362000,CGS-CIMB,2
ARTO,PT Bank Jago Tbk,Banking,2016-01-12,100,20000000000,Sinarmas Sekuritas,2
NICE,PT Integra Indocabinet Tbk,Industrial,2019-06-28,450,2727272727,Indo Premier,1
